Designator,Mid X,Mid Y,Rotation,Layer
C1,362.839,-140.843,0.0,top
C2,361.569,-152.273,180.0,top
C3,353.949,-151.765,180.0,top
C4,353.441,-150.241,180.0,top
C5,342.011,-143.129,180.0,top
C6,354.711,-145.415,0.0,top
C7,350.675,-134.493,180.0,top
C8,357.731,-140.843,180.0,top
D1,65.278,-134.62,0.0,top
D10,312.928,-134.62,0.0,top
D11,189.104,-134.62,0.0,top
D12,331.978,-134.62,0.0,top
D13,208.026,-134.62,0.0,top
D14,341.9692,-128.905,180.0,top
D2,227.33,-134.62,0.0,top
D3,103.378,-134.62,0.0,top
D4,246.38,-134.62,0.0,top
D5,122.428,-134.62,0.0,top
D6,274.828,-134.62,0.0,top
D7,141.478,-134.62,0.0,top
D8,293.878,-134.62,0.0,top
D9,160.528,-134.62,0.0,top
F1,362.7628,-137.287,0.0,top
J1,358.3178,-130.55,180.0,top
R1,353.949,-135.509,0.0,top
R2,353.949,-136.525,0.0,top
R3,341.503,-130.683,0.0,top
SW14,348.107,-130.7846,0.0,top
U2,362.839,-146.685,90.0,top
U3,348.361,-145.923,90.0,top
U4,358.3178,-138.049,180.0,top
